,,MSE,MSE,MSE,MSE,MAE,MAE,MAE,MAE
,,DLinear,LLM4TS,TimesNet,PatchTST,DLinear,LLM4TS,TimesNet,PatchTST
ETTh1,96,0.4821797311306,,1.1943309307098389,0.5615763664245605,0.4834858477115631,,0.836873471736908,0.5280948877334595
ETTh1,192,0.531012773513794,,1.169252872467041,0.6202278733253479,0.5179572105407715,,0.8247531056404114,0.5615069270133972
ETTh1,336,0.5744847059249878,,1.1867698431015015,0.6815332770347595,0.549067497253418,,0.8327597975730896,0.5945227742195129
ETTh1,720,0.6825584769248962,,,0.8395313620567322,0.6165494322776794,,,0.6801698803901672
ETTm1,96,0.3618392050266266,,0.7298951745033264,0.36565113067626953,0.39257946610450745,,0.646844208240509,0.3940410017967224
ETTm1,192,0.42793428897857666,,0.771744966506958,0.43976354598999023,0.42764151096343994,,0.6656947731971741,0.4330056309700012
ETTm1,336,0.4922201633453369,,1.1125692129135132,0.5138621926307678,0.46404600143432617,,0.780214250087738,0.4732044041156769
ETTm1,720,0.5552642345428467,,1.0976206064224243,0.5911513566970825,0.5104151964187622,,0.7847561836242676,0.522895872592926
weather,96,0.20146173238754272,,0.7363115549087524,0.20002837479114532,0.2680480480194092,,0.6607903838157654,0.24132736027240753
weather,192,0.24150492250919342,,0.7896979451179504,0.24430635571479797,0.3050520122051239,,0.6888347268104553,0.27570194005966187
weather,336,0.28602567315101624,,,0.2946471869945526,0.3397015333175659,,,0.3098872900009155
weather,720,0.3496198356151581,,0.8157546520233154,0.3659583330154419,0.3889014720916748,,0.6965754628181458,0.3551809787750244
exchange_rate,96,0.1228518933057785,,2.582698345184326,0.08850664645433426,0.26845964789390564,,1.3329954147338867,0.2146175056695938
exchange_rate,192,0.20078593492507935,,,0.17339041829109192,0.34776413440704346,,,0.30520308017730713
exchange_rate,336,0.28991904854774475,,,0.3196844458580017,0.41619837284088135,,,0.4165613651275635
exchange_rate,720,,,,,,,,
